0,SRAM,1,128,0,184,8098271893.279585,439.59090250403517,708660182.4,2522778.2693250147
1,SRAM,1,128,1,184,8098271893.279585,439.59090250403517,704796837.2,2509025.043788266
2,SRAM,1,128,3,184,8098271893.279585,439.59090250403517,681528614.4,2426191.877337664
3,SRAM,1,256,0,92,2725387094.262421,283.6811011284161,362005472.00000006,279881.20453487954
4,SRAM,1,256,1,92,2725387094.262421,283.6811011284161,362359142.40000004,280154.64155508106
5,SRAM,1,256,3,92,2725387094.262421,283.6811011284161,350739775.59999996,271171.2348735473
6,SRAM,1,512,0,46,1135565441.7904606,244.63673983257968,192107204.8,53367.57889246086
7,SRAM,1,512,1,46,1135565441.7904606,244.63677083257969,187388636.80000004,52056.762450068294
8,SRAM,1,512,3,46,1135565441.7904606,244.63671683257968,194584525.60000002,54055.77607410269
9,SRAM,1,1024,0,24,633440274.1721072,241.52307055183402,111330056.00000001,17032.43425592026
10,SRAM,1,1024,1,24,633440274.1721072,241.52306645183404,110504414.4,16906.11869723823
11,SRAM,1,1024,3,24,8206877975.53271,906.0738552869587,704797437.2,5240900.220257681
12,SRAM,1,2048,0,12,461422474.12221235,252.84233815786015,77739482.36782049,9069.64285803451
13,SRAM,1,2048,1,12,461422474.12221235,252.84235485786016,76795805.9678205,8959.547425739362
14,SRAM,1,2048,3,12,461422474.12221235,252.84234445786015,83401912.76782049,9730.262645044755
15,SRAM,2,128,0,92,4809011030.2004,387.99367015792706,382502236.0,713697.8556608253
16,SRAM,2,128,1,92,4809011030.2004,387.99367015792706,382738161.6,714138.061178514
17,SRAM,2,128,3,92,4809011030.2004,387.99367015792706,376014334.0,701592.3009494076
18,SRAM,2,256,0,46,1920260628.959539,277.4800346513419,214225604.8,114146.6828795602
19,SRAM,2,256,1,46,1920260628.959539,277.4800656513419,209035177.60000002,111381.05930971357
20,SRAM,2,256,3,46,1920260545.205839,277.1954746513419,221657503.20000002,117985.52561190294
21,SRAM,2,512,0,23,942878075.0677246,246.0088210180447,126105107.2,29250.877054705037
22,SRAM,2,512,1,23,942878075.0677246,246.0088253180447,126105115.2,29250.879421633144
23,SRAM,2,512,3,23,942878075.0677246,246.0088358180447,137193814.40000004,31822.97472490199
24,SRAM,2,1024,0,12,588236062.6443143,243.5253329626509,103337518.8,14803.139148032962
25,SRAM,2,1024,1,12,588236062.6443143,243.5253383626509,99090828.0,14194.799379141545
26,SRAM,2,1024,3,12,588236062.6443143,243.5253625626509,104517264.80000001,14972.140034227068
27,SRAM,2,2048,0,6,452812681.17240876,254.3302354533515,105462864.86782047,12145.520710166193
28,SRAM,2,2048,1,6,452812681.17240876,254.3302365933515,104991021.66782048,12091.181434925014
29,SRAM,2,2048,3,6,452812681.17240876,254.3302313733515,106878456.46782047,12308.54564119076
30,SRAM,4,128,0,46,3986695898.18435,375.3789220713993,258462404.79999998,386794.5738680759
31,SRAM,4,128,1,46,3986695898.18435,375.3789530713993,252328259.2,377614.72361025447
32,SRAM,4,128,3,46,2677154502.08315,401.699461623644,350740883.59999996,377190.7875195675
33,SRAM,4,256,0,23,1718978928.8801382,275.6452750320759,173998816.0,82445.58400198972
34,SRAM,4,256,1,23,1008913512.3952616,188.42278118397752,194584525.60000002,36990.96391115616
35,SRAM,4,256,3,23,462552567.1385071,93.84965096100262,111330056.00000001,4832.881926438837
36,SRAM,4,512,0,12,462552567.1385071,93.84964686100263,110504414.4,4797.0402872542445
37,SRAM,4,512,1,12,462552567.1385071,93.84966176100262,104724103.2,4546.115416135433
38,SRAM,4,512,3,12,898417334.6521488,246.65568497441186,175532104.4,38897.86923584168
39,SRAM,4,1024,0,6,580892425.6863611,244.26974899635508,190749297.60000002,27066.26610169798
40,SRAM,4,1024,1,6,580892425.6863611,244.26975364635507,186502524.79999995,26463.673127409395
41,SRAM,4,1024,3,6,4917617112.453476,854.4766229408154,382501684.0,1607267.8163099384
42,SRAM,4,2048,0,4,555593726.808854,311.3875716708852,303051703.2,52429.45428341132
43,SRAM,4,2048,1,4,555593726.808854,311.3875690508852,279458733.2,48347.75253996765
44,SRAM,4,2048,3,4,555593726.808854,311.3875757608852,287008538.4,49653.907507355645
45,SRAM,8,128,0,23,3781117031.426608,371.9407420497707,269786233.6,379414.2674085495
46,SRAM,8,128,1,23,3781117031.426608,371.9407463497707,269786241.6,379414.2830457627
47,SRAM,8,128,3,23,3781117031.426608,371.94075684977065,312017648.0,438806.49677859625
48,SRAM,8,256,0,12,4917617112.453476,854.4766229408154,382737989.6,1608260.7698094423
49,SRAM,8,256,1,12,1672369605.1253884,275.49042438725905,298451292.0,137503.0201181003
50,SRAM,8,256,3,12,1672369605.1253884,275.4904287872591,316146146.0,145655.42764678833
51,SRAM,8,512,0,6,913368060.8756071,254.14945300854913,389402020.79999995,90392.66719262714
52,SRAM,8,512,1,6,913368060.8756071,254.14945765854912,377605500.79999995,87654.31909752377
53,SRAM,8,512,3,6,913368060.8756071,254.1494619785491,390463712.0,90639.12288593948
54,SRAM,8,1024,0,4,749298621.7666019,316.17090551783434,619669226.4,146803.62033262532
55,SRAM,8,1024,1,4,749298621.7666019,316.1709028978343,573427014.8000001,135848.54223057715
56,SRAM,8,1024,3,4,749298621.7666019,316.17090960783435,588526567.1999999,139425.72611919206
57,SRAM,8,2048,0,3,1403383082.3041244,792.6256291065432,1001875178.4,1114443.2670555126
58,SRAM,8,2048,1,3,1403383082.3041244,792.6256215265432,999043991.2,1111293.9643996118
59,SRAM,8,2048,3,3,1403383082.3041244,792.6256240765432,996802684.0,1108800.8333444325
60,NVM,1,128,0,184,8206877975.53271,906.0738552869587,708660154.4,5269623.5304681985
61,NVM,1,128,1,184,8206877975.53271,906.0738552869587,704796809.2,5240895.550426089
62,NVM,1,128,3,184,8206877975.53271,906.0738552869587,681528586.4,5067872.171564227
63,NVM,1,256,0,92,2677154502.08315,401.699461623644,362005224.00000006,389304.5889753739
64,NVM,1,256,1,92,2677154502.08315,401.699461623644,362359142.40000004,389685.19690064184
65,NVM,1,256,3,92,2677154502.08315,401.699461623644,350739775.59999996,377189.5959636009
66,NVM,1,512,0,46,1008913512.3952616,188.42280418397752,192107204.8,36520.024011911795
67,NVM,1,512,1,46,1008913512.3952616,188.42283518397753,187388636.80000004,35623.019181019634
68,NVM,1,512,3,46,1008913512.3952616,188.42278118397752,194584525.60000002,36990.96391115616
69,NVM,1,1024,0,24,462552567.1385071,93.84965096100262,111330056.00000001,4832.881926438837
70,NVM,1,1024,1,24,462552567.1385071,93.84964686100263,110504414.4,4797.0402872542445
71,NVM,1,1024,3,24,462552567.1385071,93.84966176100262,104724103.2,4546.115416135433
72,NVM,1,2048,0,12,259095457.0598125,48.96434787807434,77741180.33536129,986.2588270918592
73,NVM,1,2048,1,12,259095457.0598125,48.964364578074346,76797503.9353613,974.2872652706513
74,NVM,1,2048,3,12,259095457.0598125,48.964354178074345,83403610.7353613,1058.0950472826667
75,NVM,2,128,0,92,4917617112.453476,854.4766229408154,382502116.0,1607269.6315691276
76,NVM,2,128,1,92,4917617112.453476,854.4766229408154,382738041.6,1608260.988312863
77,NVM,2,128,3,92,4917617112.453476,854.4766229408154,376014214.0,1580007.5396198202
78,NVM,2,256,0,46,1872028036.7803385,395.49839514657555,214225604.8,158609.2282254707
79,NVM,2,256,1,46,1872028036.7803385,395.4984261465755,209035177.60000002,154766.33066721988
80,NVM,2,256,3,46,1872028036.7803385,395.49837214657555,221657447.20000002,164111.63651100648
81,NVM,2,512,0,23,816226145.6725262,189.7948853694468,126105107.2,19535.641756397108
82,NVM,2,512,1,23,816226145.6725262,189.7948896694468,126105115.2,19535.643438321746
83,NVM,2,512,3,23,816226145.6725262,189.7949001694468,137193814.40000004,21253.456563484317
84,NVM,2,1024,0,12,417348355.61071444,95.85191337181912,103337518.8,4133.876738108353
85,NVM,2,1024,1,12,417348355.61071444,95.85191877181913,99090828.0,3963.9938781493215
86,NVM,2,1024,3,12,417348355.61071444,95.85194297181913,104517264.80000001,4181.072161684293
87,NVM,2,2048,0,6,250485664.11000887,50.45224517356545,105466962.83536127,1332.8455072868671
88,NVM,2,2048,1,6,250485664.11000887,50.45224631356545,104995119.63536128,1326.8825885654621
89,NVM,2,2048,3,6,250485664.11000887,50.45224109356545,106882554.43536127,1350.735027693287
90,NVM,4,128,0,46,4095301980.4371934,841.8618748543022,258462404.79999998,891095.3027981555
91,NVM,4,128,1,46,4095301980.4371934,841.8619058543021,252328259.2,869946.7722974031
92,NVM,4,128,3,46,4095301980.4371934,841.8618518543021,275803290.4,950881.0770658872
93,NVM,4,256,0,23,1670746336.7009406,393.66363552730706,173998816.0,114441.12265813521
94,NVM,4,256,1,23,1670746336.7009406,393.66363982730707,173998824.0,114441.1291698758
95,NVM,4,256,3,23,1670746336.7009406,393.66365032730704,195468425.60000002,128561.9490128055
96,NVM,4,512,0,12,771765405.2569485,190.4417378258135,167274418.4,24585.382623577858
97,NVM,4,512,1,12,771765405.2569485,190.44174492581348,167274434.4,24585.38589178539
98,NVM,4,512,3,12,771765405.2569485,190.4417493258135,175532104.4,25799.068687676325
99,NVM,4,1024,0,6,410004718.65276134,96.59632940552328,190749297.60000002,7554.6165581803125
100,NVM,4,1024,1,6,410004718.65276134,96.59633405552327,186502524.79999995,7386.423685690479
101,NVM,4,1024,3,6,410004718.65276134,96.59633837552327,191810988.8,7596.665491417048
102,NVM,4,2048,0,4,308305150.39925426,62.203361328924494,303051703.2,5811.809395115731
103,NVM,4,2048,1,4,308305150.39925426,62.20335870892449,279458733.2,5359.352234616938
104,NVM,4,2048,3,4,308305150.39925426,62.20336541892449,287008538.4,5504.140092318649
105,NVM,8,128,0,23,3889723113.6794147,838.4236948326602,269786233.6,879836.5840241337
106,NVM,8,128,1,23,3889723113.6794147,838.4236991326602,269786241.6,879836.6146264151
107,NVM,8,128,3,23,3889723113.6794147,838.4237096326602,312017648.0,1017563.2120078614
108,NVM,8,256,0,12,1624137012.9461882,393.50877778249037,298451276.0,190743.84291693845
109,NVM,8,256,1,12,1624137012.9461882,393.5087848824904,298451292.0,190743.85658428632
110,NVM,8,256,3,12,1624137012.9461882,393.5087892824904,316146146.0,202052.85560155415
111,NVM,8,512,0,6,782878194.2260069,196.2320647645388,389402020.79999995,59822.198724038644
112,NVM,8,512,1,6,782878194.2260069,196.23206941453878,377605500.79999995,58009.9502232244
113,NVM,8,512,3,6,782878194.2260069,196.23207373453877,390463712.0,59985.30463078123
114,NVM,8,1024,0,4,528149824.42900056,125.06412722381678,619669226.4,40930.761582842846
115,NVM,8,1024,1,4,528149824.42900056,125.0641246038168,573427014.8000001,37876.3426297593
116,NVM,8,1024,3,4,528149824.42900056,125.06413131381679,588526567.1999999,38873.7093416115
117,NVM,8,2048,0,3,773921251.4433255,158.3385482360978,1001875178.4,122771.35470289568
118,NVM,8,2048,1,3,773921251.4433255,158.3385406560978,999043991.2,122424.41072508266
119,NVM,8,2048,3,3,773921251.4433255,158.3385432060978,996802684.0,122149.75940810145
